"artist_id","artist_name","external_link"
"5zctI4wO9XSKS8XwcnqEHk","Lil Mosey","https://api.spotify.com/v1/artists/5zctI4wO9XSKS8XwcnqEHk"
"6l3HvQ5sa6mXTsMTB19rO5","J. Cole","https://api.spotify.com/v1/artists/6l3HvQ5sa6mXTsMTB19rO5"
"2EMAnMvWE2eb56ToJVfCWs","Bryson Tiller","https://api.spotify.com/v1/artists/2EMAnMvWE2eb56ToJVfCWs"
"4VCriUU9CsPnUvoAsxVk1p","310babii","https://api.spotify.com/v1/artists/4VCriUU9CsPnUvoAsxVk1p"
"7pFeBzX627ff0VnN6bxPR4","Desiigner","https://api.spotify.com/v1/artists/7pFeBzX627ff0VnN6bxPR4"
"7rkW85dBwwrJtlHRDkJDAC","NAV","https://api.spotify.com/v1/artists/7rkW85dBwwrJtlHRDkJDAC"
"6U3ybJ9UHNKEdsH7ktGBZ7","JID","https://api.spotify.com/v1/artists/6U3ybJ9UHNKEdsH7ktGBZ7"
"31W5EY0aAly4Qieq6OFu6I","A Boogie Wit da Hoodie","https://api.spotify.com/v1/artists/31W5EY0aAly4Qieq6OFu6I"
"50co4Is1HCEo8bhOyUWKpn","Young Thug","https://api.spotify.com/v1/artists/50co4Is1HCEo8bhOyUWKpn"
"5K4W6rqBFWDnAN6FQUkS6x","Kanye West","https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x"
"6MPCFvOQv5cIGfw3jODMF0","Internet Money","https://api.spotify.com/v1/artists/6MPCFvOQv5cIGfw3jODMF0"
